epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2286.06,1.50919,1.23422,1.49387,0.88225,0.72708,0.86482,0.46612,1.8684,1.32065,1.84664,0.000299982,0.000299982,0.000299982
43,2339.97,1.51774,1.25433,1.49358,0.77442,0.74327,0.82162,0.41963,1.83417,1.28332,1.82104,0.000289884,0.000289884,0.000289884
44,2394.16,1.51104,1.21145,1.48687,0.79094,0.76718,0.84939,0.42165,1.87624,1.30391,1.87287,0.000279786,0.000279786,0.000279786
45,2447.77,1.46165,1.16155,1.45687,0.81124,0.81315,0.87036,0.47046,1.86416,1.23476,1.86597,0.000269688,0.000269688,0.000269688
46,2501.64,1.49744,1.213,1.4721,0.78543,0.82527,0.86603,0.45137,1.88857,1.22313,1.90178,0.00025959,0.00025959,0.00025959
47,2555.05,1.47212,1.16365,1.46452,0.80465,0.83241,0.87665,0.48425,1.84262,1.31627,1.845,0.000249492,0.000249492,0.000249492
48,2608.19,1.45758,1.15061,1.45073,0.88036,0.75822,0.87805,0.48626,1.83969,1.34286,1.84002,0.000239394,0.000239394,0.000239394
49,2661.44,1.44372,1.13406,1.44239,0.91929,0.77268,0.89487,0.49611,1.78093,1.20599,1.77417,0.000229296,0.000229296,0.000229296
50,2714.92,1.43471,1.06884,1.41526,0.90115,0.81946,0.88542,0.49917,1.79814,1.11739,1.78922,0.000219198,0.000219198,0.000219198
51,2768.49,1.44068,1.14464,1.46122,0.8586,0.82087,0.88744,0.48199,1.86461,1.11092,1.85472,0.0002091,0.0002091,0.0002091
52,2822.03,1.43238,1.07646,1.4165,0.87575,0.80216,0.88734,0.4878,1.81281,1.17326,1.7998,0.000199002,0.000199002,0.000199002
53,2875.32,1.41435,1.06423,1.41428,0.88768,0.80827,0.88568,0.48663,1.82781,1.12759,1.82181,0.000188904,0.000188904,0.000188904
54,2928.68,1.40214,1.0837,1.40799,0.92493,0.78673,0.88574,0.47036,1.82952,1.13983,1.83492,0.000178806,0.000178806,0.000178806
55,2982.17,1.39474,1.07723,1.40749,0.85433,0.80703,0.87618,0.46892,1.84895,1.14958,1.8685,0.000168708,0.000168708,0.000168708
56,3035.56,1.39974,1.07004,1.41251,0.91604,0.79894,0.89647,0.5026,1.82139,1.13302,1.81919,0.00015861,0.00015861,0.00015861
57,3089.2,1.37017,1.01776,1.38775,0.90234,0.84268,0.90947,0.50436,1.83379,1.06871,1.83171,0.000148512,0.000148512,0.000148512
58,3142.47,1.36266,0.99872,1.39795,0.91622,0.82364,0.90092,0.46086,1.88457,1.13276,1.87295,0.000138414,0.000138414,0.000138414
59,3196.2,1.39241,1.04319,1.3918,0.87938,0.80162,0.89745,0.50331,1.8397,1.1701,1.85226,0.000128316,0.000128316,0.000128316
60,3249.8,1.34912,1.00481,1.3781,0.91057,0.79379,0.90855,0.50934,1.85443,1.15133,1.8781,0.000118218,0.000118218,0.000118218
61,3333.65,1.32254,0.79134,1.42159,0.92441,0.82319,0.90449,0.5046,1.82843,1.12114,1.82759,0.00010812,0.00010812,0.00010812
62,3386.72,1.28325,0.75724,1.37492,0.88255,0.8238,0.90112,0.4719,1.84667,1.1667,1.84461,9.8022e-05,9.8022e-05,9.8022e-05
63,3440.66,1.26928,0.75192,1.37154,0.93576,0.80768,0.90287,0.47111,1.86299,1.14075,1.8699,8.7924e-05,8.7924e-05,8.7924e-05
64,3493.93,1.29292,0.76347,1.40718,0.90922,0.82886,0.89852,0.45629,1.85116,1.135,1.86414,7.7826e-05,7.7826e-05,7.7826e-05
65,3546.85,1.24108,0.74497,1.37023,0.91891,0.81928,0.90422,0.4937,1.84701,1.10649,1.86749,6.7728e-05,6.7728e-05,6.7728e-05
66,3600.4,1.24923,0.72887,1.36056,0.91719,0.816,0.90468,0.47491,1.86972,1.13299,1.90566,5.763e-05,5.763e-05,5.763e-05
67,3653.64,1.23594,0.70176,1.33817,0.88376,0.82084,0.90727,0.47417,1.8546,1.14317,1.89152,4.7532e-05,4.7532e-05,4.7532e-05
68,3706.18,1.23328,0.70161,1.3542,0.89596,0.82736,0.9096,0.47885,1.8264,1.10914,1.8772,3.7434e-05,3.7434e-05,3.7434e-05
69,3759.4,1.21553,0.70836,1.34261,0.88073,0.86584,0.91115,0.48289,1.84845,1.081,1.87894,2.7336e-05,2.7336e-05,2.7336e-05
70,3812.72,1.23246,0.68625,1.34737,0.89954,0.82275,0.90759,0.48624,1.8517,1.0957,1.89449,1.7238e-05,1.7238e-05,1.7238e-05
